"","state","zip","agi"
"1056","AR",72127,47777
"1057","AR",72128,45955
"1058","AR",72129,48863
"1059","AR",72130,38970
"1060","AR",72131,53177
"1061","AR",72132,53645
"1062","AR",72134,40131
"1063","AR",72135,76250
"1064","AR",72136,47348
"1065","AR",72137,45877
"1066","AR",72140,33653
"1067","AR",72141,36111
"1068","AR",72142,61818
"1069","AR",72143,52821
"1070","AR",72150,55984
"1071","AR",72152,32500
"1072","AR",72153,39444
"1073","AR",72156,56730
"1074","AR",72157,48464
"1075","AR",72160,47805
"1076","AR",72166,37500
"1077","AR",72167,42857
"1078","AR",72168,32954
"1079","AR",72173,58178
"1080","AR",72175,29807
"1081","AR",72176,47210
"1082","AR",72179,37500
"1083","AR",72181,45192
"1084","AR",72201,77546
"1085","AR",72202,47022
"1086","AR",72204,33001
"1087","AR",72205,57111
"1088","AR",72206,39085
"1089","AR",72207,94225
"1090","AR",72209,28165
"1091","AR",72210,53805
"1092","AR",72211,71092
"1093","AR",72212,99725
"1094","AR",72223,98887
"1095","AR",72227,69356
"1096","AR",72301,34776
"1097","AR",72315,42666
"1098","AR",72324,39500
"1099","AR",72326,39835
"1100","AR",72327,43237
"1101","AR",72330,37500
"1102","AR",72331,28960
"1103","AR",72333,32500
"1104","AR",72335,33381
"1105","AR",72342,39329
"1106","AR",72346,31818
"1107","AR",72347,35648
"1108","AR",72348,37198
"1109","AR",72350,31617
"1110","AR",72354,38823
"1111","AR",72355,39914
"1112","AR",72358,28409
"1113","AR",72360,34767
"1114","AR",72364,56232
"1115","AR",72365,37385
"1116","AR",72366,40296
"1117","AR",72368,50000
"1118","AR",72370,36326
"1119","AR",72372,40068
"1120","AR",72373,28055
"1121","AR",72374,36637
"1122","AR",72376,44140
"1123","AR",72384,27651
"1124","AR",72386,43750
"1125","AR",72390,30333
"1126","AR",72392,34558
